"country","iso3","price","b_mt_pot","f_mt_curr","b_mt_curr","b_diff_mt","b_diff_mmt"
"Panama","PAN",1700,2359209.42947112,1200,0,2359209.42947112,2.35920942947112
"Papua New Guinea","PNG",1700,11249448.5047787,1,0,11249448.5047787,11.2494485047787
"Peru","PER",1700,9933491.59339574,3.16,20974.99,9912516.60339574,9.91251660339574
"Philippines","PHL",1700,2038273.15717088,379663,38287,1999986.15717088,1.99998615717088
"Puerto Rico and Virgin Islands of the United States",NA,1700,15401.9921775939,NA,0,15401.9921775939,0.0154019921775939
"Qatar","QAT",1700,61048.9754908624,0,0,61048.9754908624,0.0610489754908624
"Republique du Congo","COG",1700,841837.886337852,NA,0,841837.886337852,0.841837886337852
"Russia","RUS",1700,208291.511254219,13523,5799,202492.511254219,0.202492511254219
"Saudi Arabia","SAU",1700,2361.32850869802,8275,0,2361.32850869802,0.00236132850869802
"Senegal","SEN",1700,4236919.1959455,262.8,1195.43,4235723.7659455,4.2357237659455
"Sierra Leone","SLE",1700,6149890.11733411,NA,0,6149890.11733411,6.14989011733411
"Somalia","SOM",1700,125891.165293626,NA,0,125891.165293626,0.125891165293626
"South Africa","ZAF",1700,1050651.25668802,80,3580,1047071.25668802,1.04707125668802
"Sri Lanka","LKA",1700,2937903.49008659,121,0,2937903.49008659,2.93790349008659
"Suriname","SUR",1700,11509747.2437893,2.3,0,11509747.2437893,11.5097472437893
"Tanzania","TZA",1700,607801.284629911,390,0,607801.284629911,0.607801284629911
"Thailand","THA",1700,6669738.61798738,19786,197201,6472537.61798738,6.47253761798738
"Trinidad and Tobago","TTO",1700,2865804.78954096,NA,0,2865804.78954096,2.86580478954096
"Tunisia","TUN",1700,11317.2524705208,15022,115,11202.2524705208,0.0112022524705208
"Turkey","TUR",1700,13535.2669290992,148401,329,13206.2669290992,0.0132062669290992
"Venezuela","VEN",1700,23026057.7880462,0,7,23026050.7880462,23.0260507880462
"Vietnam","VNM",1700,15413252.8018856,303493,225384,15187868.8018856,15.1878688018856
"Western Sahara","ESH",1700,2305894.47084287,NA,0,2305894.47084287,2.30589447084287
"Yemen","YEM",1700,336707.219550236,NA,0,336707.219550236,0.336707219550236
