"","country","scenario","value2100_PropCurrent","ReefAdjacent","OnReef","Total","inCoralValues","Tourismvalue2100"
"53","China",2.6,1.90503155278123,1586283,285531,1871814,TRUE,3565864.73093764
"54","China",4.5,1.05056407199624,1586283,285531,1871814,TRUE,1966460.53785956
"55","China",6,0.590482589606862,1586283,285531,1871814,TRUE,1105273.57798238
"56","China",8.5,7.30792227925263e-06,1586283,285531,1871814,TRUE,13.679071233217
"57","Colombia",2.6,1.18879484587545,95586,51616,147202,TRUE,174992.978902558
"58","Colombia",4.5,0.204217488261606,95586,51616,147202,TRUE,30061.222707085
"59","Colombia",6,0.031801345726787,95586,51616,147202,TRUE,4681.2216936745
"60","Colombia",8.5,1.16920212937893e-07,95586,51616,147202,TRUE,0.0172108891848837
"61","Cook Islands",2.6,1.1523234286701,11108,7998,19106,TRUE,22016.2914281709
"62","Cook Islands",4.5,0.391589883992868,11108,7998,19106,TRUE,7481.71632356774
"63","Cook Islands",6,0.151342700577274,11108,7998,19106,TRUE,2891.5536372294
"64","Cook Islands",8.5,1.26315863500112e-08,11108,7998,19106,TRUE,0.000241339088803314
"65","Costa Rica",2.6,0.00791023873221048,110077,59441,169518,TRUE,1340.92784940686
"66","Costa Rica",4.5,0.000652561122240474,110077,59441,169518,TRUE,110.620856319961
"67","Costa Rica",6,0.000107254878613481,110077,59441,169518,TRUE,18.1816325128001
"68","Costa Rica",8.5,7.55197241679549e-12,110077,59441,169518,TRUE,1.28019526015034e-06
"69","Cuba",2.6,0.514445905555173,183955,99335,283290,TRUE,145737.380584725
"70","Cuba",4.5,0.03583537285892,183955,99335,283290,TRUE,10151.8027772035
"71","Cuba",6,0.011425962482877,183955,99335,283290,TRUE,3236.86091177422
"72","Cuba",8.5,1.93412516663418e-07,183955,99335,283290,TRUE,0.0547918318455797
"73","Dominican Republic",2.6,1.95919036550924,376227,135442,511669,TRUE,1002456.97512975
"74","Dominican Republic",4.5,0.444982675527537,376227,135442,511669,TRUE,227683.840604499
"75","Dominican Republic",6,0.126216795719444,376227,135442,511669,TRUE,64581.2216489724
"76","Dominican Republic",8.5,1.41716385448483e-08,376227,135442,511669,TRUE,0.00725118812260398
"77","Ecuador",2.6,2.09099928287053,23274,35609,58883,TRUE,123124.310773266
"78","Ecuador",4.5,0.583229283271775,23274,35609,58883,TRUE,34342.2898868919
"79","Ecuador",6,0.16954292116717,23274,35609,58883,TRUE,9983.19582708649
"80","Ecuador",8.5,9.17190288403241e-08,23274,35609,58883,TRUE,0.00540069157520481
"81","Egypt",2.6,0.812771531330675,947538,5969490,6917028,TRUE,5621963.43981715
"82","Egypt",4.5,0.0241413118596693,947538,5969490,6917028,TRUE,166986.130090065
"83","Egypt",6,0.00495454003702923,947538,5969490,6917028,TRUE,34270.6921632522
"84","Egypt",8.5,6.67198444065179e-14,947538,5969490,6917028,TRUE,4.61503031915528e-07
"85","Fiji",2.6,1.15617263186737,81203,153473,234676,TRUE,271325.968556106
"86","Fiji",4.5,0.226274845154875,81203,153473,234676,TRUE,53101.2755615655
"87","Fiji",6,0.126016326578245,81203,153473,234676,TRUE,29573.0074560762
"88","Fiji",8.5,2.91427791250288e-05,81203,153473,234676,TRUE,6.83911083394527
"89","French Polynesia",2.6,1.5695102143524,41940,71717,113657,TRUE,178385.822432651
"90","French Polynesia",4.5,0.378890745407889,41940,71717,113657,TRUE,43063.5854508245
"91","French Polynesia",6,0.199742160965205,41940,71717,113657,TRUE,22702.0947888223
"92","French Polynesia",8.5,4.03546463755511e-07,41940,71717,113657,TRUE,0.0458658804310601
"93","Grenada",2.6,1.30305749129808,10668,12482,23150,TRUE,30165.7809235505
"94","Grenada",4.5,0.0487822932210444,10668,12482,23150,TRUE,1129.31008806718
"95","Grenada",6,0.0087290857837889,10668,12482,23150,TRUE,202.078335894713
"96","Grenada",8.5,4.85822490613002e-10,10668,12482,23150,TRUE,1.1246790657691e-05
"97","Guadeloupe",2.6,0.149686551582316,55499,34964,90463,TRUE,13541.0945157911
"98","Guadeloupe",4.5,0.0297118384536428,55499,34964,90463,TRUE,2687.82204203188
"99","Guadeloupe",6,0.00835486529901574,55499,34964,90463,TRUE,755.806179544861
"100","Guadeloupe",8.5,1.44935852816058e-07,55499,34964,90463,TRUE,0.013111332053299
"101","Guam",2.6,0.90152105638775,115444,207800,323244,TRUE,291411.272351002
"102","Guam",4.5,0.0603937954807885,115444,207800,323244,TRUE,19521.932026392
