"","country","scenario","value2100_PropCurrent","ReefAdjacent","OnReef","Total","inCoralValues","Tourismvalue2100"
"1","Anguilla",2.6,0.403961457783299,11445,8240,19685,TRUE,7951.98129646424
"2","Anguilla",4.5,0.00241568899683931,11445,8240,19685,TRUE,47.5528379027818
"3","Anguilla",6,0.000230690063525259,11445,8240,19685,TRUE,4.54113390049472
"4","Anguilla",8.5,0,11445,8240,19685,TRUE,0
"5","Antigua and Barbuda",2.6,2.66446390068035e-06,42885,23158,66043,TRUE,0.175969189392632
"6","Antigua and Barbuda",4.5,1.40803329062817e-10,42885,23158,66043,TRUE,9.29907426129565e-06
"7","Antigua and Barbuda",6,0,42885,23158,66043,TRUE,0
"8","Antigua and Barbuda",8.5,0,42885,23158,66043,TRUE,0
"9","Aruba",2.6,0.0376460632614581,141705,76521,218226,TRUE,8215.34980129496
"10","Aruba",4.5,0.00273146347799497,141705,76521,218226,TRUE,596.07634894893
"11","Aruba",6,0.000218528712940078,141705,76521,218226,TRUE,47.6886469100614
"12","Aruba",8.5,0,141705,76521,218226,TRUE,0
"13","Australia",2.6,0.821959167849522,473062,1703022,2176084,TRUE,1788652.19381066
"14","Australia",4.5,0.112417737758427,473062,1703022,2176084,TRUE,244630.440452309
"15","Australia",6,0.0210034831809134,473062,1703022,2176084,TRUE,45705.3436942547
"16","Australia",8.5,0,473062,1703022,2176084,TRUE,0
"17","Bahamas",2.6,0.397658208070097,207928,318130,526058,TRUE,209191.281620939
"18","Bahamas",4.5,0.00111231309047029,207928,318130,526058,TRUE,585.141199746621
"19","Bahamas",6,9.31751573239387e-05,207928,318130,526058,TRUE,49.0155369115166
"20","Bahamas",8.5,0,207928,318130,526058,TRUE,0
"21","Bahrain",2.6,0.00383598321963013,91210,24627,115837,TRUE,444.348788212295
"22","Bahrain",4.5,3.16523143721894e-05,91210,24627,115837,TRUE,3.6665091399313
"23","Bahrain",6,2.42816285841675e-06,91210,24627,115837,TRUE,0.281271101030421
"24","Bahrain",8.5,0,91210,24627,115837,TRUE,0
"25","Barbados",2.6,1.44839313269842,110480,69602,180082,TRUE,260829.532122598
"26","Barbados",4.5,0.155024284820752,110480,69602,180082,TRUE,27917.0832590906
"27","Barbados",6,0.00756760079625807,110480,69602,180082,TRUE,1362.78868659175
"28","Barbados",8.5,0,110480,69602,180082,TRUE,0
"29","Belize",2.6,1.69449409519801,23502,57109,80611,TRUE,136594.863508007
"30","Belize",4.5,0.210965682045935,23502,57109,80611,TRUE,17006.1545954049
"31","Belize",6,0.0177336602803609,23502,57109,80611,TRUE,1429.52808886017
"32","Belize",8.5,0,23502,57109,80611,TRUE,0
"33","Bermuda",2.6,0.669197463690666,68812,154827,223639,TRUE,149658.651582317
"34","Bermuda",4.5,0.00240035514288482,68812,154827,223639,TRUE,536.813023799618
"35","Bermuda",6,0.000203561888605944,68812,154827,223639,TRUE,45.5243772059447
"36","Bermuda",8.5,0,68812,154827,223639,TRUE,0
"37","Brazil",2.6,1.24551931343516,562261,50603,612864,TRUE,763333.948509126
"38","Brazil",4.5,0.215342982033039,562261,50603,612864,TRUE,131975.961340697
"39","Brazil",6,0.015728069741211,562261,50603,612864,TRUE,9639.16773387755
"40","Brazil",8.5,6.81971902481286e-17,562261,50603,612864,TRUE,4.17956028042291e-11
"41","Brunei",2.6,1.40592391853581,20779,7480,28259,TRUE,39730.0040139035
"42","Brunei",4.5,0.458988764888964,20779,7480,28259,TRUE,12970.5635069972
"43","Brunei",6,0.126712156528409,20779,7480,28259,TRUE,3580.75883133631
"44","Brunei",8.5,3.79838340141419e-07,20779,7480,28259,TRUE,0.0107338516540564
"45","Cambodia",2.6,0.00575599411710144,15496,2789,18285,TRUE,105.2483524312
"46","Cambodia",4.5,5.09076047636974e-07,15496,2789,18285,TRUE,0.00930845553104207
"47","Cambodia",6,4.0363957875871e-08,15496,2789,18285,TRUE,0.000738054969760302
"48","Cambodia",8.5,5.87412543610669e-24,15496,2789,18285,TRUE,1.07408383599211e-19
"49","Cayman Islands",2.6,1.67866520514959,49209,243585,292794,TRUE,491503.10007657
"50","Cayman Islands",4.5,0.188973390440083,49209,243585,292794,TRUE,55330.2748805137
"51","Cayman Islands",6,0.0105861492485932,49209,243585,292794,TRUE,3099.56098309259
"52","Cayman Islands",8.5,0,49209,243585,292794,TRUE,0
