"rcp","sovereign","sovereign_iso3","country","eez_id","eez","msy_avg1","msy_avg2","msy_perc"
"RCP 6.0","Joint Regime","Joint","Colombia - Jamaica",165,"Colombia - Jamaica (Joint Regime)",4706895.46572823,4744798.87739218,0.805274133235575
"RCP 6.0","Joint Regime","Joint","Japan - Korea",211,"Joint Japan - Korea",137248011.157472,103273407.188838,-24.7541685173514
"RCP 6.0","Joint Regime","Joint","Nigeria - Sao Tome and Principe",201,"Nigeria - Sao Tome and Principe Joint",688379.560691003,646755.417298762,-6.04668496410009
"RCP 6.0","Kenya","KEN","Kenya",43,"Kenyan Exclusive Economic Zone",19464432.6389023,19584877.7330919,0.61879581297907
"RCP 6.0","Kiribati","KIR","Kiribati",212,"Kiribati Exclusive Economic Zone",76225445.9890185,76228770.6142804,0.00436156878948504
"RCP 6.0","Kiribati","KIR","Line Group",148,"Kiribati Exclusive Economic Zone (Line Group)",45238033.5188756,44726268.4081505,-1.13127178817697
"RCP 6.0","Kiribati","KIR","Phoenix Group",157,"Kiribati Exclusive Economic Zone (Phoenix Group)",24131235.0081086,23464994.0961412,-2.76090681535175
"RCP 6.0","Kuwait","KWT","Kuwait",51,"Kuwaiti Exclusive Economic Zone",6219672.92292107,5315194.78611589,-14.5422138433027
"RCP 6.0","Latvia","LVA","Latvia",69,"Latvian Exclusive Economic Zone",30976618.0386468,32085942.6983354,3.58116776435913
"RCP 6.0","Lebanon","LBN","Lebanon",78,"Lebanese Exclusive Economic Zone",22643132.4029585,19531792.1731193,-13.7407677280229
"RCP 6.0","Liberia","LBR","Liberia",97,"Liberian Exclusive Economic Zone",100738559.244582,10656317.6394917,-89.4218085712151
"RCP 6.0","Libya","LBY","Libya",67,"Libyan Exclusive Economic Zone",350249976.763628,297180104.298685,-15.1519988538809
"RCP 6.0","Lithuania","LTU","Lithuania",189,"Lithuanian Exclusive Economic Zone",7628909.94829834,7620621.99097459,-0.108638814455995
"RCP 6.0","Madagascar","MDG","Madagascar",42,"Madagascan Exclusive Economic Zone",184864120.066105,189897537.65376,2.72276609752907
"RCP 6.0","Malaysia","MYS","Malaysia",206,"Malaysian Exclusive Economic Zone",303923441.561601,281408031.055712,-7.40825070623098
"RCP 6.0","Maldives","MDV","Maldives",39,"Maldives Exclusive Economic Zone",142831041.206518,142982488.722676,0.106032634698068
"RCP 6.0","Malta","MLT","Malta",68,"Maltese Exclusive Economic Zone",72886139.0549117,60412680.6361133,-17.11362212423
"RCP 6.0","Marshall Islands","MHL","Marshall Islands",11,"Marshall Islands Exclusive Economic Zone",188457524.324391,190762824.096442,1.22324634175001
"RCP 6.0","Mauritania","MRT","Mauritania",64,"Mauritanian Exclusive Economic Zone",95422301.1551349,92186376.1514669,-3.39116219635822
"RCP 6.0","Mauritius","MUS","Mauritius",37,"Mauritian Exclusive Economic Zone",126776510.077256,131477309.976025,3.70794234350234
"RCP 6.0","Mexico","MEX","Mexico",135,"Mexican Exclusive Economic Zone",1179960230.24681,715880684.438227,-39.330100618011
"RCP 6.0","Micronesia","FSM","Micronesia",9,"Micronesian Exclusive Economic Zone",283344643.262798,286681704.42341,1.17773927969286
"RCP 6.0","Monaco","MCO","Monaco",185,"Monégasque Exclusive Economic Zone",483025.009177875,482151.616837499,-0.180817209001699
"RCP 6.0","Montenegro","MNE","Montenegro",186,"Montenegrin Exclusive Economic Zone",12264715.6406013,12376367.1192554,0.91034706328236
"RCP 6.0","Morocco","MAR","Morocco",62,"Moroccan Exclusive Economic Zone",308509483.334413,332438807.863542,7.7564307814782
"RCP 6.0","Morocco","MAR","Western Sahara",63,"Western Saharan Exclusive Economic Zone",247404722.007074,265967049.118229,7.50281844282045
"RCP 6.0","Mozambique","MOZ","Mozambique",41,"Mozambican Exclusive Economic Zone",106305634.485657,105733553.147336,-0.538147710691953
"RCP 6.0","Myanmar","MMR","Myanmar",205,"Myanmar Exclusive Economic Zone",240675251.316726,242533870.213365,0.77225177348773
"RCP 6.0","Namibia","NAM","Namibia",101,"Namibian Exclusive Economic Zone",415693666.098356,463569292.370838,11.5170449244118
"RCP 6.0","Nauru","NRU","Nauru",10,"Nauruan Exclusive Economic Zone",10004304.2131755,10004282.6744671,-0.000215294415799634
"RCP 6.0","Netherlands","NLD","Aruba",250,"Aruban Exclusive Economic Zone",2678739.51748276,2677639.76371474,-0.0410548976801333
"RCP 6.0","Netherlands","NLD","Bonaire",245,"Bonaire Exclusive Economic Zone",2769690.27162418,2768423.37316096,-0.0457415212164187
"RCP 6.0","Netherlands","NLD","Curaçao",244,"Curaçaoan Exclusive Economic Zone",4005352.74898763,4003806.05558407,-0.0386156601051215
"RCP 6.0","Netherlands","NLD","Netherlands",177,"Dutch Exclusive Economic Zone",165957134.648378,157426057.632505,-5.14053043513244
"RCP 6.0","Netherlands","NLD","Saba",248,"Saba Exclusive Economic Zone",2629030.16732825,2623717.40344676,-0.202080750061635
"RCP 6.0","Netherlands","NLD","Sint-Eustasius",249,"Sint-Eustasius Exclusive Economic Zone",637206.168676255,636173.713963159,-0.162028361282253
"RCP 6.0","Netherlands","NLD","Sint-Maarten",220,"Sint-Maarten Exclusive Economic Zone",118152.000419828,117887.345927666,-0.223994931293262
"RCP 6.0","New Zealand","NZL","Cook Islands",153,"Cook Islands Exclusive Economic Zone",58598026.9995996,58380193.9655402,-0.371741243200746
"RCP 6.0","New Zealand","NZL","New Zealand",162,"New Zealand Exclusive Economic Zone",774033595.600161,827006425.697609,6.84373784271921
"RCP 6.0","New Zealand","NZL","Niue",154,"Niue Exclusive Economic Zone",7728358.11209452,7807356.60010297,1.0221897958483
"RCP 6.0","New Zealand","NZL","Tokelau",156,"Tokelau Exclusive Economic Zone",8827465.8246963,8646961.91320326,-2.04479875739711
"RCP 6.0","Nicaragua","NIC","Nicaragua",131,"Nicaraguan Exclusive Economic Zone",65770271.1409156,45914243.5137447,-30.1899738023408
"RCP 6.0","Nigeria","NGA","Nigeria",196,"Nigerian Exclusive Economic Zone",174270210.945952,14198286.5521987,-91.8527174121559
"RCP 6.0","North Korea","PRK","North Korea",21,"North Korean Exclusive Economic Zone",127190075.65744,143349311.090342,12.7047926887183
"RCP 6.0","Norway","NOR","Bouvet Island",105,"Bouvet Island Exclusive Economic Zone",486004.541411412,528868.415954099,8.81964485726921
"RCP 6.0","Norway","NOR","Jan Mayen",144,"Fishieries Zone around Jan Mayen",69061383.5697235,71602603.4482027,3.67965387764584
"RCP 6.0","Norway","NOR","Norway",223,"Norwegian Exclusive Economic Zone",1003205199.96794,1182437537.30021,17.8659697276287
"RCP 6.0","Norway","NOR","Svalbard",253,"Fisheries Zone around Svalbard",176231785.936315,242381462.330307,37.5356103001177
"RCP 6.0","Oman","OMN","Oman",48,"Omani Exclusive Economic Zone",188348872.106468,161121158.514768,-14.4560003397889
"RCP 6.0","Pakistan","PAK","Pakistan",53,"Pakistani Exclusive Economic Zone",127174822.062481,126823423.172914,-0.276311681721347
"RCP 6.0","Palau","PLW","Palau",8,"Palau Exclusive Economic Zone",58237642.6328279,59719483.986133,2.54447344760789
"RCP 6.0","Panama","PAN","Panama",129,"Panamanian Exclusive Economic Zone",104383958.721349,46100366.265356,-55.8357751228616
"RCP 6.0","Papua New Guinea","PNG","Papua New Guinea",17,"Papua New Guinean Exclusive Economic Zone",517285583.039593,550640571.317813,6.44808001070216
"RCP 6.0","Peru","PER","Peru",138,"Peruvian Exclusive Economic Zone",2223718219.80228,1462851295.37183,-34.2159774406173
"RCP 6.0","Philippines","PHL","Philippines",15,"Philippines Exclusive Economic Zone",935135675.186658,638191156.23552,-31.7541643240021
"RCP 6.0","Poland","POL","Poland",178,"Polish Exclusive Economic Zone",47158615.140829,43108906.5350304,-8.58742054597037
"RCP 6.0","Portugal","PRT","Azores",55,"Portuguese Exclusive Economic Zone (Azores)",203927769.32142,257875555.963673,26.4543601990877
"RCP 6.0","Portugal","PRT","Madeira",57,"Portuguese Exclusive Economic Zone (Madeira)",58680106.2553573,97411390.0365439,66.0041132383781
"RCP 6.0","Portugal","PRT","Portugal",183,"Portuguese Exclusive Economic Zone",190665925.127543,208057428.645722,9.12145340419141
"RCP 6.0","Qatar","QAT","Qatar",190,"Qatari Exclusive Economic Zone",9090987.55142961,449.982800181131,-99.9950502319177
"RCP 6.0","République du Congo","COG","République du Congo",100,"Congolese Exclusive Economic Zone",28071825.5250784,14762045.1516381,-47.4133054209452
"RCP 6.0","Romania","ROU","Romania",72,"Romanian Exclusive Economic Zone",30726871.9163056,34515102.2513928,12.32872107973
"RCP 6.0","Russia","RUS","Russia",73,"Russian Exclusive Economic Zone",3685928177.85462,4036040696.2157,9.49862562338002
"RCP 6.0","Saint Kitts and Nevis","KNA","Saint Kitts and Nevis",119,"Saint Kitts and Nevis Exclusive Economic Zone",2672566.04752775,2670084.5241254,-0.0928517147272805
"RCP 6.0","Saint Lucia","LCA","Saint Lucia",122,"Saint Lucia Exclusive Economic Zone",4212920.35543658,4034579.30929511,-4.23319291833564
"RCP 6.0","Saint Vincent and the Grenadines","VCT","Saint Vincent and the Grenadines",127,"Saint Vincent and the Grenadines Exclusive Economic Zone",5597350.8649153,5370843.65234936,-4.04668597757038
"RCP 6.0","Samoa","WSM","Samoa",152,"Samoan Exclusive Economic Zone",6030794.83281703,5810500.80560964,-3.65281912773159
"RCP 6.0","Sao Tome and Principe","STP","Sao Tome and Principe",103,"Sao Tome and Principe Exclusive Economic Zone",43054567.7866293,5654156.39592286,-86.8674645070325
"RCP 6.0","Saudi Arabia","SAU","Saudi Arabia",50,"Saudi Arabian Exclusive Economic Zone",55320190.1669021,33063889.3173759,-40.2317865907158
"RCP 6.0","Senegal","SEN","Senegal",66,"Senegalese Exclusive Economic Zone",95876676.1862001,13856659.160151,-85.5474139161435
"RCP 6.0","Seychelles","SYC","Seychelles",31,"Seychellois Exclusive Economic Zone",165172236.211149,179300994.160297,8.5539545103006
"RCP 6.0","Sierra Leone","SLE","Sierra Leone",96,"Sierra Leonian Exclusive Economic Zone",89918586.8759104,10006273.0121247,-88.8718524614565
