"sovereign_iso3","sovereign","country","msy_pdiff_rcp60","msy_pdiff_rcp85","aq_bivalve_underage_mt","aq_finfish_underage_mt"
"ABNJ","High Seas","FAO Antarctica",21.8099874431661,49.7686242435828,NA,NA
"ABNJ","High Seas","FAO Arctic Sea",100,100,NA,NA
"ABNJ","High Seas","FAO Atlantic, Eastern Central",-1.18255429268487,-9.27197914602573,NA,NA
"ABNJ","High Seas","FAO Atlantic, Northeast",12.2576050738628,15.6260913876579,NA,NA
"ABNJ","High Seas","FAO Atlantic, Northwest",-1.59282288706229,-9.27577291493728,NA,NA
"ABNJ","High Seas","FAO Atlantic, Southeast",4.4111324306739,8.78583602805352,NA,NA
"ABNJ","High Seas","FAO Atlantic, Southwest",4.12552690505893,4.56426822599623,NA,NA
"ABNJ","High Seas","FAO Atlantic, Western-Central",-0.0662748651937952,-2.17916586814623,NA,NA
"ABNJ","High Seas","FAO Indian Ocean, Eastern",13.1509741935518,26.7837060197036,NA,NA
"ABNJ","High Seas","FAO Indian Ocean, Western",1.46162684570065,-8.97332092345121,NA,NA
"ABNJ","High Seas","FAO Pacific, Eastern Central",0.855136328185884,-0.147458397659889,NA,NA
"ABNJ","High Seas","FAO Pacific, Northeast",7.81690569917201,8.88819434610344,NA,NA
"ABNJ","High Seas","FAO Pacific, Northwest",3.29258206762856,2.1406500283204,NA,NA
"ABNJ","High Seas","FAO Pacific, Southeast",13.6949964642727,19.4628673696073,NA,NA
"ABNJ","High Seas","FAO Pacific, Southwest",12.04214835345,17.4277321258266,NA,NA
"ABNJ","High Seas","FAO Pacific, Western Central",0.503336215477925,-3.40540717495028,NA,NA
"AGO","Angola","Angola",-81.427918140436,-85.1818658117489,6730417.91347351,2758507.125
"ALB","Albania","Albania",-0.717903314325807,-50.6955227533811,NA,NA
"ARE","United Arab Emirates","United Arab Emirates",-99.8322146302668,-99.9998961666552,NA,NA
"ARG","Argentina","Argentina",0.718288503299803,-0.165702956265262,NA,NA
"ATA","Antarctica","Antarctica",12.2742996300684,30.0914205563675,NA,NA
"ATG","Antigua and Barbuda","Antigua and Barbuda",4.74471056631173,-12.5772822999832,NA,NA
"AUS","Australia","Australia",0.348739072215676,-29.2935840851137,225623.590998292,NA
"AUS","Australia","Christmas Island",0.496730433349047,-0.458129359248614,225623.590998292,NA
"AUS","Australia","Cocos Islands",1.56169922399814,0.837843233296778,225623.590998292,NA
"AUS","Australia","Heard and McDonald Islands",100,100,225623.590998292,NA
"AUS","Australia","Macquarie Island",39.4884907313955,42.8569688382607,225623.590998292,NA
"AUS","Australia","Norfolk Island",4.54358801238824,17.6270828710503,225623.590998292,NA
"BEL","Belgium","Belgium",-16.0657562930105,-17.0774276560828,NA,NA
"BEN","Benin","Benin",-89.0855269989834,-89.5323803054535,NA,NA
"BGD","Bangladesh","Bangladesh",5.19468148105881,-20.2635775598578,6198953.03309696,NA
"BGR","Bulgaria","Bulgaria",-0.0503298098831401,-10.3470846940065,NA,NA
"BHR","Bahrain","Bahrain",-99.5264725161057,-99.9965748486406,NA,NA
"BHS","Bahamas","Bahamas",-14.2812227255905,-55.0137999495084,NA,NA
"BLZ","Belize","Belize",-1.59809700097308,-52.8506370541124,782325.541176013,NA
"BRA","Brazil","Brazil",-31.1315474546031,-55.2097898174313,42753545.0745638,60009775.0625
"BRA","Brazil","Trindade",1.22309752955143,2.06173388298062,42753545.0745638,60009775.0625
"BRB","Barbados","Barbados",-2.39137198772306,-30.0032968220069,NA,NA
"BRN","Brunei","Brunei",-10.4016495940558,-95.0411946840781,737313.686430318,NA
"CAN","Canada","Canada",10.8920571893314,13.2309008646933,NA,NA
"CHL","Chile","Chile",-7.18200533574209,-12.0244444244686,121538.703790453,NA
"CHL","Chile","Easter Island",0.220202988439324,0.281718524893286,121538.703790453,NA
"CHN","China","China",-21.7262261623489,-45.5980568129157,NA,NA
"CIV","Ivory Coast","Ivory Coast",-89.4837378301624,-89.4688164021149,260034.365118001,NA
"CMR","Cameroon","Cameroon",-92.7871181816881,-94.1195337716261,NA,5547361
"COD","Democratic Republic of the Congo","Democratic Republic of the Congo",-86.5068482657168,-90.0605626172081,171975.749313462,NA
"COG","République du Congo","République du Congo",-47.4133054209452,-92.3675253318398,841837.886337852,NA
"COL","Colombia","Colombia",-12.0742897566476,-36.3438394549474,9115908.21798349,NA
"COL","Colombia","Quita Sueño Bank",-2.63176416333729,-50.7013449257026,9115908.21798349,NA
"COL","Colombia","Serrana Bank",-4.25697436917239,-51.034108878191,9115908.21798349,NA
"COM","Comoro Islands","Comoro Islands",-2.25315631549516,-2.76303661098235,NA,NA
"CPV","Cape Verde","Cape Verde",4.24377285533273,-13.4270256633873,NA,NA
"CRI","Costa Rica","Costa Rica",-69.3114351440557,-73.8138860618252,1196761.66467671,NA
"CUB","Cuba","Cuba",-69.7876221148538,-73.5587819795339,2916851.70903856,NA
"CYP","Cyprus","Cyprus",-16.2564374719866,-23.5389440032518,NA,NA
"DEU","Germany","Germany",-5.53838182380223,-12.3761197089263,NA,NA
"Disputed","Disputed","Conflict Zone",-33.4415622552448,-55.1208353063461,NA,NA
"Disputed","Disputed","Japan - South Korea Conflict Zone",-23.7282549967276,-37.998432921756,NA,NA
"Disputed","Disputed","Kenya/Somalia",0.206648658657471,-0.0548091312227413,NA,NA
"Disputed","Disputed","Paracel Islands",-24.9512491585275,-29.4264248900681,NA,NA
"Disputed","Disputed","Southern Kuriles",4.67743338821865,6.19863591841587,NA,NA
"Disputed","Disputed","Spratly Islands",1.97116186533684,-30.5594309134997,NA,NA
"Disputed","Disputed","Sudan/Egypt",-6.15194053841202,-99.9830660924489,NA,NA
"Disputed","Disputed","Trinidad and Tobago/Venezuela/Guyana",-0.00378362207698026,-6.44911050570052,NA,NA
"Disputed","Disputed","Western Sahara/Mauritania",47.4691926994988,48.3183033558845,NA,NA
"DJI","Djibouti","Djibouti",-0.0762582586701996,-99.7933424676463,NA,NA
"DMA","Dominica","Dominica",0.280734574559857,-30.8017882188047,NA,NA
"DNK","Denmark","Denmark",3.89923605640913,-0.469387185026425,NA,NA
"DNK","Denmark","Faeroe Islands",25.2173730272699,36.6791049934842,NA,NA
"DNK","Denmark","Greenland",17.2909606988813,21.1425371751427,NA,NA
"DOM","Dominican Republic","Dominican Republic",3.66266785479984,-36.8778319517335,366405.389926883,NA
"DZA","Algeria","Algeria",-7.44605240642314,-22.5037392079891,NA,NA
"ECU","Ecuador","Ecuador",-7.29466963154165,-7.2269370992902,2157006.38075202,NA
"ECU","Ecuador","Galapagos Islands",-6.95242604992812,-25.9358961742743,2157006.38075202,NA
"EGY","Egypt","Egypt",-5.56611085883658,-42.4733878918199,1106730.9954745,NA
"ERI","Eritrea","Eritrea",-8.79266401298364,-99.9991505160145,NA,NA
"ESP","Spain","Canary Islands",34.6169948195816,8.83401426104291,NA,NA
"ESP","Spain","Spain",-0.931072723481619,-11.5706041922407,NA,NA
"EST","Estonia","Estonia",16.1501243145392,-18.3848961648649,NA,NA
"FIN","Finland","Finland",66.75626783491,49.0189248405256,NA,NA
"FJI","Fiji","Fiji",17.1629189973593,24.2651731133125,155627.837503365,NA
"FRA","France","Amsterdam Island and Saint Paul Island",1.76191619603102,1.91265694227384,NA,NA
"FRA","France","Bassas da India",-0.23913981513958,-3.62227723293767,NA,NA
"FRA","France","Clipperton Island",-1.00389227797073,-1.30303721550091,NA,NA
"FRA","France","Crozet Islands",38.8912899659531,59.0499486228496,NA,NA
"FRA","France","France",-0.338030293742593,-2.51300226021861,NA,NA
"FRA","France","French Guiana",-0.166658538476028,-15.1097413147451,NA,NA
"FRA","France","French Polynesia",7.02830555471299,6.80630215911035,NA,NA
"FRA","France","Glorioso Islands",17.5543983386342,16.8355199362558,NA,NA
"FRA","France","Guadeloupe",3.6190038021407,-18.0705315932385,NA,NA
"FRA","France","Ile Europa",-0.54328813932366,-1.30165264838215,NA,NA
"FRA","France","Ile Tromelin",0.00389280936332725,-0.136883807129661,NA,NA
"FRA","France","Juan de Nova Island",15.9409588725981,-23.2093785118725,NA,NA
"FRA","France","Kerguelen Islands",23.8620910042316,28.9510369961847,NA,NA
"FRA","France","Martinique",-2.02664912109779,-36.7479123514615,NA,NA
"FRA","France","Mayotte",0.958970725067344,0.53650728220401,NA,NA
"FRA","France","New Caledonia",15.7455045864072,13.4370611218841,NA,NA
"FRA","France","Northern Saint-Martin",2.862569863851,-20.9753352593137,NA,NA
"FRA","France","Réunion",-0.776084366944568,-1.16512714437624,NA,NA
"FRA","France","Saint Pierre and Miquelon",10.8199377028022,14.6594136151019,NA,NA
"FRA","France","Wallis and Futuna",8.31160889491084,5.03588673437907,NA,NA
"FSM","Micronesia","Micronesia",1.17773927969284,-11.4949540910005,NA,NA
"GAB","Gabon","Gabon",-92.6257927668946,-96.3408585114766,1597290.97452105,4630703.8125
"GBR","United Kingdom","Anguilla",3.2085013144893,-25.2097752677007,NA,NA
"GBR","United Kingdom","Ascension",-14.1290084934548,-19.2313575236007,NA,NA
"GBR","United Kingdom","Bermuda",-10.1988848903996,-32.6370432596447,NA,NA
"GBR","United Kingdom","British Indian Ocean Territory",1.00202515417729,-10.5562706864615,NA,NA
"GBR","United Kingdom","British Virgin Islands",-0.114133242142606,-31.6296921815408,NA,NA
"GBR","United Kingdom","Cayman Islands",-36.9803328200577,-48.0018128513302,NA,NA
"GBR","United Kingdom","Falkland Islands",36.6360862467152,55.2372269130543,NA,NA
"GBR","United Kingdom","Gibraltar",-1.08342971497541,-18.9476796644587,NA,NA
"GBR","United Kingdom","Guernsey",-5.73461599417784,-8.55294123448891,NA,NA
"GBR","United Kingdom","Jersey",-3.04818372960463,-4.49384749076079,NA,NA
"GBR","United Kingdom","Montserrat",-0.206281257189954,-41.4240390821028,NA,NA
"GBR","United Kingdom","Pitcairn",0.147207141441008,-2.1349031528149,NA,NA
"GBR","United Kingdom","Saint Helena",0.65396608792886,-1.66597246532193,NA,NA
"GBR","United Kingdom","South Georgia and the South Sandwich Islands",1.65597780183402,1.36155302906796,NA,NA
"GBR","United Kingdom","Tristan da Cunha",2.60353174765376,3.5656114444316,NA,NA
"GBR","United Kingdom","Turks and Caicos Islands",1.75526803651818,-41.6809505118482,NA,NA
"GBR","United Kingdom","United Kingdom",4.50823629818967,1.92059842909874,NA,NA
"GEO","Georgia","Georgia",1.44357666710495,-4.30955537124965,1674.39042164242,NA
"GHA","Ghana","Ghana",-89.6585213052442,-89.6850957808751,NA,NA
"GIN","Guinea","Guinea",-68.1136992063616,-92.4776172287894,11734025.3763158,26137895.0625
"GMB","Gambia","Gambia",-87.7845758228196,-88.1736333022645,850167.8742885,NA
"GNB","Guinea Bissau","Guinea Bissau",-91.1179528754336,-91.2668965259328,9571528.91289106,11099991.4375
"GNQ","Equatorial Guinea","Equatorial Guinea",-88.1545039058037,-93.7580448704689,246144.688240589,1820108.1875
"GRC","Greece","Greece",-5.57313721738689,-15.2673844869314,NA,NA
"GRD","Grenada","Grenada",-2.32321825268911,-27.9376228464187,NA,NA
"GTM","Guatemala","Guatemala",-64.0420643475052,-88.0961781227913,245297.225035368,NA
"GUY","Guyana","Guyana",-3.47462401610758,-44.0979679601347,14218211.5922722,20409408.26
"HND","Honduras","Honduras",-5.033368203525,-52.1314577614989,1519140.77158824,NA
"HRV","Croatia","Croatia",-0.0420678208032668,-9.63359936097025,NA,NA
"HTI","Haiti","Haiti",-27.5127507685101,-46.5957553155927,22430.4254004222,NA
"IDN","Indonesia","Indonesia",0.257762793619433,-75.8016766203123,112240492.798753,14832612.125
"IND","India","Andaman and Nicobar",0.300415830944133,-85.1135044739445,31841935.7098748,NA
