"rcp","scenario","scenario_short","sovereign_iso3","sovereign","country","b1","b2","c1","c2","p1","p2","msy_tot1","msy_tot2","bbmsy_avg1","bbmsy_avg2","bbmsy_prop1","bbmsy_prop2","b_pdiff","c_pdiff","p_pdiff","bbmsy_prop_diff","msy_pdiff"
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Antarctica",449831.963081667,841985.081058607,14925.8419311483,32150.9213696329,40570622.3791625,45842540.535277,27131.3131071729,33048.6490890134,1.08302180149822,1.21266231594506,0.712020990826994,0.95,88.0543681182498,62.9933874649484,71.2134392258048,0.3602702379889,21.8099874431661
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Antarctica",451554.995016662,1057614.0983427,14948.6267312975,39450.077308733,40586979.0986,55291050.4470992,27250.1348679273,40812.1520962156,1.08729809707673,1.32417667428907,0.719709003023305,0.961538461538462,135.650859309173,97.7720006554922,106.254332901202,0.369793082399851,49.7686242435828
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Arctic Sea",7709.57308281009,253887.520159138,95.3891447963321,16910.5196817066,166273.180914541,23624641.146307,478.521584713532,17355.3318094502,1.06386421140737,1.26208980082266,0.691666666666667,1,3133.28281458234,300,300,0.49,100
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Arctic Sea",8243.70433616455,400970.280335365,111.635054309229,41947.298329076,194712.83811693,41665918.865342,508.812823474705,43109.0072860474,1.0374637776108,1.37696173818195,0.666666666666667,1,4712.02330473148,300,300,0.546031746031746,100
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Eastern Central",1527975.86137364,1557239.47773546,219502.035899917,208270.709032463,218285854.717919,224330675.525882,216285.296708295,213727.605647625,1.06951030670243,1.30818303094994,0.681447938026885,0.974626312384933,-6.5647368198165,8.88044174697236,9.68544893710875,0.481398925736494,-1.18255429268487
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Eastern Central",1532267.41026006,1463137.96484268,220259.135796116,191363.566374637,218799416.82655,201780993.037196,217090.470224756,196961.887097507,1.06648504939203,1.46681636307216,0.680728024266909,0.97773820754717,-12.0216094896943,-1.9063692680935,-2.82937133145161,0.49079450840787,-9.27197914602573
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Northeast",4456456.26050933,6691046.53924995,344670.526889736,615305.113299887,247451062.751181,433623401.466875,561121.189286803,629901.208655341,1.04202716475053,1.2712333473837,0.647063311607543,0.98019801980198,51.4757379263964,129.167180615891,117.748327550197,0.503683989253197,12.2576050738628
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Northeast",4449187.22738783,7110400.02872047,345803.066975647,631008.018024615,248385370.547052,442796743.736245,562436.775161293,650323.659645792,1.03942768465281,1.40489469022251,0.648806545163629,0.982587064676617,62.2377514359532,132.097826636771,133.249334321863,0.514002437560939,15.6260913876579
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Northwest",3099544.14780967,3721243.25505861,237636.839247698,338318.658793006,230846491.573496,350260531.098436,352115.816908901,346507.23558821,1.01002736472565,1.26826238906585,0.630290998294912,0.97324384787472,23.2037018777753,60.6981714870483,70.0607834755386,0.546769463230081,-1.59282288706229
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Northwest",3088207.56543798,3564375.36640793,237560.816379675,309277.560042694,230804410.275331,341128748.908076,352187.904582166,319519.754319249,1.0072349317847,1.59160882278584,0.630895841046526,0.976666666666667,19.763618401843,44.0573524746547,73.5646608636642,0.552900530667654,-9.27577291493728
