"rcp","scenario","scenario_short","sovereign_iso3","sovereign","country","b1","b2","c1","c2","p1","p2","msy_tot1","msy_tot2","bbmsy_avg1","bbmsy_avg2","bbmsy_prop1","bbmsy_prop2","b_pdiff","c_pdiff","p_pdiff","bbmsy_prop_diff","msy_pdiff"
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Southeast",2203534.87554322,2554993.5355563,308483.782895204,298984.053276163,312565317.187078,363459895.204763,295678.043728344,308720.793805627,1.0436841335232,1.32535521119754,0.644936708860759,0.980640357408786,5.15053858161362,11.8598315078245,25.5794476351274,0.53419998008072,4.4111324306739
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Southeast",2212779.14267194,2856570.75341221,308571.962149306,310857.163666694,312773130.163266,365912117.438143,295757.425515564,321742.187962154,1.04089313378307,1.55204638680513,0.6442030153995,0.983353630362944,17.9223320854043,13.739435461745,24.3881268542072,0.543681776779134,8.78583602805352
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Southwest",3594136.63883962,3869117.28998219,369129.406238595,356144.881057243,377092175.060592,418243492.598508,353004.436002193,367567.728985515,1.03486297717322,1.34303026697527,0.641079019444533,0.981120133747313,-3.52370884047783,29.2053272826358,46.8350232454018,0.552426691420934,4.12552690505893
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Southwest",3597479.12505691,3991052.82821331,369414.369665962,356823.003590104,377258541.655203,408479703.210411,353865.258972707,370016.618550837,1.02829095545941,1.8263369952571,0.627833183926878,0.984032253225528,-0.0297180150037881,25.1258624954263,38.4082804834858,0.566767911026028,4.56426822599623
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Western-Central",960034.494656032,997351.104119183,150672.882599933,142801.217682656,157924702.848294,178608564.384819,146620.999660979,146523.826791108,1.06889744563993,1.23595229199526,0.699417688055756,0.951088181659901,-3.59007936547979,4.1907352626253,16.6134807259727,0.424864677694508,-0.0662748651937952
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Western-Central",959444.906474301,998325.503253165,150665.041817013,139773.192133683,157910638.364105,163137326.512485,146628.487608591,143433.209653645,1.06535433674858,1.52742523547027,0.69644448918061,0.95756829543622,-3.36368438386864,1.78760400108204,6.17217457583452,0.429225333423467,-2.17916586814623
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Indian Ocean, Eastern",2318779.86930972,3354606.80503211,351213.610773563,390374.746690209,354349493.458432,394857440.251491,352540.47230886,398902.978844024,1.0876080742675,1.18366758320341,0.704395801739963,0.970324846356453,33.5042707526542,23.592073980013,28.232427096445,0.385595418628781,13.1509741935518
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Indian Ocean, Eastern",2316151.09378661,4383439.8898689,351201.987894472,439206.048339383,354334456.603423,405303285.836398,352540.14416811,446963.459983537,1.08551140130531,1.2793925541541,0.703825125708357,0.962701199882938,74.5621783387573,39.0505089551202,31.0857067735763,0.379310665921728,26.7837060197036
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Indian Ocean, Western",3163679.6155857,3510590.52989174,429390.490492916,412174.368373113,429174072.358164,431340319.248232,416487.159983571,422574.648122787,1.06798481539513,1.2178968917419,0.659310938845823,0.986078811369509,0.689644284036629,11.0761136781765,16.6210056247569,0.539612403100775,1.46162684570065
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Indian Ocean, Western",3166205.89463071,3747742.04364175,429958.145989477,371079.954878477,429751190.959843,390498866.904966,417227.574185963,379788.404973126,1.06399555657087,1.61701208180554,0.653156761412575,0.988380545292086,7.60121430923681,-1.49140235454198,4.19020695270788,0.544054533233516,-8.97332092345121
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Eastern Central",6001967.32298887,6444509.26788196,692051.550993769,663721.467182063,695604518.741245,691177151.047769,677404.238827258,683196.96856214,1.08459459716225,1.20298425104193,0.718222576643629,0.96551724137931,5.05055831992872,-1.9739398984793,4.94177791323631,0.426635440918563,0.855136328185884
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Eastern Central",6006062.70270444,6656017.43171405,692235.546738261,659401.456794337,695724312.237097,685555727.499549,678065.416372422,677065.551974354,1.08055169137695,1.29994881979505,0.716404394825447,0.975862068965517,8.49549925270725,-2.70725351458806,3.8944279176834,0.438832120356621,-0.147458397659889
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Northeast",3755916.25860703,4959243.21668225,292176.64487322,416722.668332829,254718224.975391,353034969.81726,397280.780684034,428335.84467104,1.08944030169758,1.2175910089328,0.712294221797818,0.978723404255319,39.4474624435893,51.5488320732381,48.5953986209781,0.361755095341828,7.81690569917201
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Northeast",3762019.50459025,5170431.43072332,294778.585977543,424271.311264718,259621512.815769,363440751.991507,400214.45896054,435786.297874159,1.083706650433,1.28900052219842,0.708661335084002,0.985173572228443,45.1588008945687,51.7999535081616,50.2829045128423,0.369036582384313,8.88819434610344
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Northwest",5287992.71634745,6396769.94935574,403889.284980853,500841.207586776,399592252.399701,469906763.349724,496930.64773085,513292.497126587,1.07700284276895,1.2135023719309,0.689835891807435,0.985257896261953,26.0392918390802,22.4208342926698,26.0981846922923,0.481221629971679,3.29258206762856
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Northwest",5279598.69903031,6447293.61770849,403827.111689645,495641.74449668,399539743.001575,464244537.29909,497119.812488008,507761.407894819,1.07236551240758,1.54622088479898,0.687144885369138,0.988196657973534,27.7009147524662,19.1333227766677,22.5047975000643,0.487218138530617,2.1406500283204
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Southeast",4202555.57374871,9788175.80199448,502559.161599063,779426.219332066,499498294.110101,630354765.961313,701987.350860501,798124.493740488,1.05206362847298,1.21002216744915,0.668501884953199,0.968085106382979,134.685408704225,58.3583243861598,116.772726631956,0.456048262759492,13.6949964642727
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Southeast",4252717.04730125,10637025.0875233,503966.251070174,835180.439367138,501127040.543698,656381488.144936,715251.173952874,854459.561298882,1.04586898922159,1.37000657249066,0.664782422844135,0.953415453527436,151.924600462003,68.9113197533949,122.102467601069,0.444901030140928,19.4628673696073
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Southwest",3209156.48163641,5720338.25535915,349669.907199937,484453.893547662,362249928.635105,449661328.801296,440881.179346904,493972.745026298,1.06560790834717,1.22537748694703,0.653588601295902,0.985645867290604,74.3458982181615,45.5604203899949,72.4394187194189,0.495943516411026,12.04214835345
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Southwest",3198628.53817899,6185161.75252258,349730.710562001,508698.108834752,362311427.976601,461735185.676842,440979.089117576,517831.743499898,1.06388291753682,1.56636504017956,0.653916136268186,0.983353493600438,88.5130473407295,52.5640840921608,76.3061279243235,0.496838036915757,17.4277321258266
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Western Central",822365.488885696,821568.983617611,139494.151429538,125210.38281851,137867753.740637,130583887.338838,127658.934683467,128301.488334022,1.06147555987616,1.21971105468148,0.655405405405405,0.993243243243243,-12.4215297955465,5.88513226369837,11.0278520954375,0.552027027027027,0.503336215477925
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Western Central",824524.423276593,841952.692317867,139571.331352206,120619.690297962,137912362.76508,125194970.305249,127905.781998153,123550.069320811,1.05862426093674,1.64389442917173,0.652027027027027,0.996602852852853,-10.2558922475499,1.17998768769014,5.91431211086272,0.554035285285285,-3.40540717495028
"RCP 6.0","Full Adaptation","Full","AGO","Angola","Angola",2436939.7176508,778768.164541426,132802.921122372,46885.6604651918,83397652.64951,30247692.3301628,261299.398057572,48528.7381058002,1.03403078341974,1.44253478551364,0.632012913644638,0.980338274877404,-62.4043278585584,-74.5805432457682,-50.65747576307,0.567409543872673,-81.427918140436
"RCP 8.5","Full Adaptation","Full","AGO","Angola","Angola",2262253.03023674,801172.146374735,131468.755287305,38534.6147180657,83629703.2228909,23870866.5114885,257833.883783499,38206.1708818181,1.02770019514396,1.59034304274685,0.627159296783764,0.984449161250488,-58.6636435455271,-79.0102459864894,-63.0350398853607,0.584892066639137,-85.1818658117489
"RCP 6.0","Full Adaptation","Full","ALB","Albania","Albania",138523.822001585,229298.140171829,11349.0916479429,18452.5173102311,7234484.97385715,9767908.24801796,19164.5272291014,19026.9444529488,1.06352193305437,1.32585121822974,0.677741756872415,0.982547939616483,77.34980697234,40.0289350225985,47.3286386555582,0.489705511268347,-0.717903314325807
"RCP 8.5","Full Adaptation","Full","ALB","Albania","Albania",126152.757311336,116369.985271746,10666.8210314678,8816.38922689873,6697692.95412582,4210693.28682406,18355.0370987899,9049.8550899813,1.06139879717058,1.46511933198152,0.680456265383344,0.982247232980052,-1.48702729290993,-28.8230338433628,-30.4543056484448,0.498058555121046,-50.6955227533811
"RCP 6.0","Full Adaptation","Full","ARE","United Arab Emirates","United Arab Emirates",338417.062359805,544.312697418653,32335.8935808298,40.8383252365272,27185775.1782002,33599.4685270195,25349.3349551454,42.5324753794041,1.0651854681216,1.21300859605903,0.668994138219792,0.975457875457875,-99.8591809004263,-99.8395301961489,-99.8433118996013,0.548249856148482,-99.8322146302668
"RCP 8.5","Full Adaptation","Full","ARE","United Arab Emirates","United Arab Emirates",402789.146459373,0.674015735446723,36131.0206120517,0.0301877669299011,30677980.1720817,26.9940052390078,30734.5094845698,0.0319126691979416,1.05918380332405,1.78292731554608,0.657981535383067,1,-99.9998409588593,-99.9999206069499,-99.999905189373,0.576725457759017,-99.9998961666552
"RCP 6.0","Full Adaptation","Full","ARG","Argentina","Argentina",21710844.2797101,22450156.3076397,1586408.67830493,1464885.06018942,1639821172.05779,1459739032.36931,1515704.41248166,1526591.54302052,1.02972889801712,1.28210167255615,0.623551499614175,0.97841726618705,-8.15740949776789,73.5614406782647,111.338660542953,0.54689673457813,0.718288503299803
"RCP 8.5","Full Adaptation","Full","ARG","Argentina","Argentina",21585832.2555857,22477167.9925862,1584613.2811309,1437319.97117999,1638016935.74081,1432692185.07917,1516214.52068647,1513702.10840237,1.02565116254483,1.5530564627139,0.620691055537827,0.982193515704154,-6.81197483379268,50.0145472237543,74.1720442643745,0.557520814058699,-0.165702956265262
"RCP 6.0","Full Adaptation","Full","ATA","Antarctica","Antarctica",250893.888675355,559565.973990045,4539.14670684987,18432.7230514892,11619979.7591129,14494723.1932757,16904.7458237614,18979.6849778713,0.929815842486071,1.14711475568883,0.472727272727273,0.909090909090909,145.308985390636,68.5485894513345,95.8346206099389,0.472727272727273,12.2742996300684
"RCP 8.5","Full Adaptation","Full","ATA","Antarctica","Antarctica",252502.867507955,707245.715738718,4559.1285285691,21169.609312694,11634815.0571801,16574420.6721925,17006.8234569992,22124.4182267238,0.929159588208171,1.1835393076861,0.463636363636364,0.916666666666667,209.012319955201,89.3417369870137,119.818957359489,0.520454545454546,30.0914205563675
"RCP 6.0","Full Adaptation","Full","ATG","Antigua and Barbuda","Antigua and Barbuda",99635.7091714705,149983.128800555,7426.7060752355,7366.43040495323,7849762.54359558,10761677.453348,7342.47930888114,7690.85870047887,1.03193663078838,1.42984792085988,0.638787165899235,0.986394557823129,42.8462230612536,15.7290354054917,40.1166882729178,0.577022460298322,4.74471056631173
"RCP 8.5","Full Adaptation","Full","ATG","Antigua and Barbuda","Antigua and Barbuda",101566.114543336,141252.673512427,7433.00847619596,5795.37729503736,7871882.43558744,7455702.60309631,7599.72350421358,6643.88482507046,1.02489354005146,2.34587255510916,0.627943679124933,0.988684909614638,31.846672389194,-13.2977560591668,-9.60370378640779,0.584983916305962,-12.5772822999832
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Australia",23966703.9782517,35107113.6055776,1560865.8225399,2020126.3726346,1885781906.52803,1768551494.18227,2051953.18707903,2059109.14958595,1.06774932691497,1.22048216383079,0.663233940780051,0.984813918654223,42.4945898263486,36.909823262971,30.1647935423436,0.522025955986549,0.348739072215676
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Australia",23916378.3555496,29689722.55309,1564637.1224024,1437479.11707221,1890032576.85025,1176015498.06545,2066117.16563073,1460877.39641973,1.0643041292556,1.65466576952734,0.65488910837748,0.986455951143451,18.8389622374246,-0.787278803187889,0.889673049734963,0.525061500214117,-29.2935840851137
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Christmas Island",215503.296716614,236859.858250446,22477.6984468734,19979.1055701883,25222236.2394679,22912695.4465605,20410.0918574922,20511.4749952229,1.07360363536989,1.22346286784569,0.673211736716891,0.994871794871795,0.284035737882605,4.49417730846448,7.81993802595646,0.541969336505419,0.496730433349047
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Christmas Island",214725.389116943,320774.120083998,22470.0504374529,19194.2196400607,25209571.099591,22576856.2575709,20410.529972294,20317.0233421127,1.06985136920208,1.71731531044229,0.668710018503833,0.997416803055101,33.927220742258,2.12173630615659,16.1811101290816,0.545235994173261,-0.458129359248614
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Cocos Islands",235068.224003728,256279.423686146,26461.2349783026,22906.6112463855,30493296.2535629,26157202.1524633,23166.5223363915,23528.3137359463,1.0749267446972,1.21863276705892,0.677248677248677,0.989417989417989,-3.07678525225869,4.81172113635083,4.92629233350112,0.528042328042328,1.56169922399814
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Cocos Islands",235396.666120544,340187.308308737,26523.5354310798,22082.7236127089,30586750.0942802,25460929.1374094,23239.6491589675,23434.3609868878,1.07169990409576,1.6706475649015,0.674074074074074,0.991909073893646,25.5947931181926,4.25777068307064,14.6659633899143,0.529475211459784,0.837843233296778
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Heard and McDonald Islands",12908.104820249,33552.7757129412,772.729470333189,1590.0712100604,1317493.92133995,3029815.48816092,487.143750145118,1634.69365118842,1.03952542968493,1.18844612173079,0.614711150918047,0.898275862068965,117.559754009041,192.795875927883,167.109417227674,0.374460740409016,100
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Heard and McDonald Islands",12938.2785017346,66108.0096675737,773.346701963039,3015.10383239722,1318338.17828207,4800423.97263779,488.756917651754,3077.87219399377,1.04148028375422,1.29893658465333,0.620838827838828,0.922632575757576,328.966422975185,300,300,0.382903638028638,100
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Macquarie Island",40872.2346719729,74489.2328228692,1994.27013585032,4903.04522153159,2340692.54033848,6298041.94393503,3599.84772071958,5021.37325426028,1.03647650854324,1.17922032360822,0.620276497695853,0.942857142857143,104.624632049295,90.1025153358184,300,0.373732718894009,39.4884907313955
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Macquarie Island",40791.2040699201,85673.7042243214,1993.43457083826,5025.25255695778,2339958.42043714,6534272.28119761,3599.7698515543,5142.52209508403,1.03948501407956,1.26684319243341,0.629929333659172,0.959459459459459,135.501158379698,95.2510997966049,300,0.390319470863826,42.8569688382607
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Norfolk Island",461995.945433284,610689.348334179,41750.9105175025,43652.0490173874,42432883.0719943,41165727.9898489,42740.6693298183,44682.6292579024,1.06540078887883,1.21633775510647,0.65413496193585,0.981684327941997,17.6703605145257,39.7951954816481,39.2787690060649,0.492962391131627,4.54358801238824
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Norfolk Island",472558.076412098,880784.81253696,41947.6479833145,50176.7077989489,42628731.1720488,42290922.179677,43415.8439921887,51068.7907918577,1.06269417594034,1.52565218090693,0.653063360927344,0.977922977050642,66.1735597178685,54.3905810923186,50.8680718414409,0.491303910934345,17.6270828710503
"RCP 6.0","Full Adaptation","Full","BEL","Belgium","Belgium",54844.219140151,79781.8418288035,6085.59418653618,7494.70499103191,4468941.49483703,6196383.34896407,9140.70996930918,7672.18578218905,1.07704382796927,1.27677767410924,0.696514285714286,0.983711440155121,67.6450400527299,2.43486341195325,41.5210062374472,0.427520963964645,-16.0657562930105
"RCP 8.5","Full Adaptation","Full","BEL","Belgium","Belgium",54356.9258209136,82349.2908665369,6080.11671204552,7356.51655926468,4465482.214176,5958295.70244136,9139.20397314434,7578.46302628877,1.06703635328479,1.42399965152367,0.685136507936508,0.988523754100481,77.2258636122829,-1.19847538633024,41.2040894639591,0.455044389021116,-17.0774276560828
"RCP 6.0","Full Adaptation","Full","BEN","Benin","Benin",104701.808987755,11474.8448915204,8981.06632694478,1304.19869137243,6002288.36992334,1135044.76770209,12263.9448541333,1338.54494996395,1.05697435601086,1.38383048384483,0.678472222222222,0.975680483867418,-88.1503735578752,-86.6572978030663,-76.5900398124571,0.526374928311862,-89.0855269989834
"RCP 8.5","Full Adaptation","Full","BEN","Benin","Benin",101720.007784125,12655.6920592772,8666.88449315025,1285.48597986407,5724690.46518261,1120916.45306489,12713.5998985527,1330.81128686674,1.0500466764127,1.62933984214786,0.674822695035461,0.983238133091074,-86.3048139658413,-86.6658411227973,-75.4898380672356,0.547525958150176,-89.5323803054535
"RCP 6.0","Full Adaptation","Full","BGD","Bangladesh","Bangladesh",715154.641467791,843296.988314503,60686.2748398171,51374.060333445,60150855.9048238,48532978.5568502,50257.4013783143,52868.113300575,1.07193890849549,1.21793163651581,0.678934948317539,0.988304093567251,2.718864064016,0.0925492224660913,-12.9687357887092,0.535017771252589,5.19468148105881
"RCP 8.5","Full Adaptation","Full","BGD","Bangladesh","Bangladesh",733557.171524252,892282.790744925,61953.2911951899,39897.6987846537,61873607.4678645,37167675.9489303,51683.0993616577,41210.2544371698,1.06922777697008,1.703243351757,0.668305322128852,0.997002380780607,10.8388885791431,-32.2561161405779,-30.9612430771748,0.542226470416462,-20.2635775598578
"RCP 6.0","Full Adaptation","Full","BGR","Bulgaria","Bulgaria",228130.643393137,442761.772969056,15249.8691999961,33900.674347515,11073212.3391019,17217762.3043077,34856.7877666857,34839.2444116713,1.04379938064841,1.32158346249773,0.664705882352941,1,131.402560815611,52.4293463852117,66.3616513223289,0.512941176470588,-0.0503298098831401
"RCP 8.5","Full Adaptation","Full","BGR","Bulgaria","Bulgaria",225416.104269834,389768.297840775,15226.9346751923,30602.1092846162,11049065.7592041,14808714.6535623,34846.4975379035,31240.9009247617,1.04020258191532,1.4863112005728,0.664705882352941,1,105.037652499642,36.5676138208693,39.1525203798812,0.515294117647059,-10.3470846940065
"RCP 6.0","Full Adaptation","Full","BHR","Bahrain","Bahrain",24380.2078790546,113.603305780077,2946.24335456677,8.61941846303885,2305459.55868834,7053.74804008724,1896.9443859156,8.98255302150042,1.07843598898901,1.22624222849816,0.671066930244645,0.994520547945206,-99.6208623558641,-99.5963592677461,-99.5942591738962,0.591444008241452,-99.5264725161057
"RCP 8.5","Full Adaptation","Full","BHR","Bahrain","Bahrain",30214.942429683,1.30358122838889,3445.50857015388,0.0783950171834101,2715034.54031982,63.9341186941258,2400.35963825011,0.0822159507792406,1.07343695233511,1.73837111702027,0.664952713739466,0.996046734955186,-99.9958913620159,-99.997983638984,-99.9977134637887,0.603480747651477,-99.9965748486406
"RCP 6.0","Full Adaptation","Full","BHS","Bahamas","Bahamas",1606772.65904233,1619915.3553084,106254.447499737,90560.6200135138,107330637.450075,127722506.393207,109747.994736124,94074.6391709884,1.0344925635104,1.39481565814254,0.641509433962264,0.986780736979007,-3.87809283234279,-0.765008708797674,19.8507866783164,0.575459982262026,-14.2812227255905
"RCP 8.5","Full Adaptation","Full","BHS","Bahamas","Bahamas",1623077.56561163,512346.754507859,106901.177574241,47983.73533766,107985519.58972,39253653.0576637,111028.524519175,49947.5141533053,1.02841477183997,2.21547829408879,0.632075471698113,0.984576899587907,-69.8040144963766,-50.8251025628924,-65.9010073799129,0.580174383864636,-55.0137999495084
"RCP 6.0","Full Adaptation","Full","BLZ","Belize","Belize",122135.483890216,158761.318886796,8498.83839477268,8327.45599952788,8983001.65141052,12673587.5634024,8781.68643298856,8641.34656546811,1.0312631065085,1.37857831131524,0.633677954250325,0.992714506855374,22.0121274295336,18.4159730655734,44.6256699223849,0.591126253933588,-1.59809700097308
"RCP 8.5","Full Adaptation","Full","BLZ","Belize","Belize",121234.708303623,45107.4452659668,8494.59838847743,3967.57795962242,8979216.58725724,3341073.67333749,8783.31041636307,4141.27490687497,1.02302604356033,1.95012316965132,0.619358705424034,0.995363908275175,-65.2884381480813,-45.2332810538108,-64.2131102227828,0.599948864822972,-52.8506370541124
"RCP 6.0","Full Adaptation","Full","BRA","Brazil","Brazil",6965834.01895133,6888171.41386839,616481.531324486,434320.449970773,600304875.042354,518560235.98897,658284.040155834,453350.031808642,1.03865057265846,1.41586698223886,0.639371285411232,0.984324040341403,-5.1770644643026,-2.45064859257013,27.4618525076087,0.573476180685816,-31.1315474546031
"RCP 8.5","Full Adaptation","Full","BRA","Brazil","Brazil",7039779.59979272,5906750.72220621,626078.198583837,274564.84510485,611306721.793536,282909949.494424,673497.692197182,301661.031909867,1.0314925102771,2.36655291472097,0.625252116537973,0.986119377525032,-17.9598420750955,-47.5034439512222,-41.8902323952531,0.578477043955947,-55.2097898174313
"RCP 6.0","Full Adaptation","Full","BRA","Brazil","Trindade",105680.167926929,109737.74721306,17166.0093256784,14121.5196902953,15594227.291897,15179334.8979645,14327.8044534808,14503.0474757903,1.06819147432979,1.24656696521443,0.705477869872968,0.970588235294118,-20.8348407687012,32.1443992256674,33.8111691201176,0.478703342708194,1.22309752955143
"RCP 8.5","Full Adaptation","Full","BRA","Brazil","Trindade",106476.637092002,127680.317319213,17201.9474400124,14094.3604750204,15625583.6278637,15272487.7974674,14369.1808194713,14665.4350891331,1.06304214220949,1.48885656160496,0.705921442023137,0.979029733959311,-6.55098732336701,19.6529569942261,24.9377838234575,0.500873290591004,2.06173388298062
"RCP 6.0","Full Adaptation","Full","BRB","Barbados","Barbados",110799.907451105,122957.055848284,10075.8506696636,9006.66696661313,10100258.3753326,11816519.61237,9541.98937574433,9313.80491474127,1.02947072593889,1.37617399927481,0.634265734265734,0.992662894425359,0.459382471342343,14.0932747000604,31.189414159463,0.585669887432352,-2.39137198772306
"RCP 8.5","Full Adaptation","Full","BRB","Barbados","Barbados",110058.125590707,64323.4949475421,10071.7752514563,6423.75903306842,10096387.3217486,6092304.95331765,9543.18907369419,6679.91772962839,1.02353265086933,2.12198388246874,0.628671328671329,0.993166173008278,-47.0910696911435,-22.0174844915048,-35.8241053934615,0.591767571609677,-30.0032968220069
"RCP 6.0","Full Adaptation","Full","BRN","Brunei","Brunei",174805.753842681,187712.755466184,12931.0970486396,10835.5369729804,14003360.9026132,10844373.5621795,12346.1332038474,11061.9316895678,1.05906315884561,1.21987130409374,0.65343137254902,0.990077243018419,0.932162985288782,-8.78070539090956,-12.7002193340834,0.556253713606655,-10.4016495940558
"RCP 8.5","Full Adaptation","Full","BRN","Brunei","Brunei",183138.523357129,14468.4104697981,13013.4782533269,629.236549557549,14086416.7025147,629667.62045079,12825.1163614504,635.972551904776,1.05378515373737,1.77092823541104,0.642156862745098,0.993906823341849,-92.7011019968482,-94.2540495459778,-94.1175297004324,0.560083293930084,-95.0411946840781
"RCP 6.0","Full Adaptation","Full","CAN","Canada","Canada",18938687.7296251,26629899.2030268,1406452.66262083,2288180.65282103,2229290126.98377,3586933176.60143,2121778.05129984,2352883.3300781,1.03562592283661,1.26499281025333,0.646782979098632,0.974676323553385,59.3060738775543,38.8901584682055,69.6107887039342,0.482715631430492,10.8920571893314
"RCP 8.5","Full Adaptation","Full","CAN","Canada","Canada",18963234.1402718,28833325.6466355,1419239.88760787,2328606.05446342,2255335498.17852,3603984733.24942,2139233.30905922,2422273.14744534,1.03112892340016,1.55337235429326,0.645382449990437,0.977534578146611,76.2714950299835,37.9546536756979,80.1392809818919,0.496162646662043,13.2309008646933
