"rcp","scenario","scenario_short","sovereign_iso3","sovereign","country","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff","msy_pdiff"
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Southeast",295650.328802297,309578.213880083,26202383.0449686,31523762569.2996,1.3045814026783,0.912521688837478,14.3621032082349,27.5670486574091,0.613794100636206,4.71093170577859
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Southeast",295650.328802297,321060.637701139,26694022.3094966,31788882167.0785,1.58809681796146,0.911867364746946,8.17012595186501,31.2940330662023,0.711896451425247,8.59471694206501
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Southwest",352948.512898096,367995.254614251,31447861.074725,36497155534.2575,1.35975333405083,0.911675485008818,27.8019855439124,48.0563256492117,0.61657848324515,4.26315486998491
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Southwest",352948.512898096,372008.959124859,31560081.6228966,36371964606.0413,1.75757276918953,0.911120185109568,18.320535660579,50.0380584235535,0.706274669933306,5.40034750968519
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Western-Central",146620.443980831,146526.210757594,12757419.0873318,15698124185.5403,1.19010753939855,0.900751649025924,8.77785759529431,21.5821778623136,0.516490259242215,-0.0642701799817859
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Western-Central",146620.443980831,142673.337578326,12715946.101048,15443776727.4412,1.43341167253272,0.894889569563115,8.72933420097938,27.1862078905185,0.627921973238755,-2.69205732525295
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Indian Ocean, Eastern",352543.392753968,399902.147811153,31924687.3603184,33354351354.3459,1.18441147172218,0.909467749958548,17.123895557702,21.7255915347889,0.483999336760073,13.4334541592829
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Indian Ocean, Eastern",352543.392753968,440914.812154688,34096995.1559566,34387921496.0213,1.3243560619845,0.903150525087515,19.2623941357983,20.0162339688145,0.577429571595266,25.0668204870859
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Indian Ocean, Western",415853.829733741,422631.097253669,36419986.7175984,37894359631.1371,1.21861450159754,0.929338756779307,15.4753611561819,23.2234308929534,0.598039215686274,1.62972348343333
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Indian Ocean, Western",415853.829733741,356666.62133162,36116915.0177353,37635532919.1657,1.82243995868655,0.928050052137643,7.60478059197739,19.1237073053364,0.741814389989572,-14.2326952814206
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Eastern Central",677448.518437143,683235.920375631,58993938.389969,61258494198.3949,1.20537689372432,0.906853091768413,6.53839746826265,21.0942600174944,0.499409216226861,0.854293984115436
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Eastern Central",677448.518437143,673439.124962558,59160163.7895384,61386046403.1634,1.35650466125529,0.907382024672019,6.32678218736225,20.991031563057,0.614059134521245,-0.591837367042219
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Northeast",396679.062898598,429291.013323386,34516723.5974368,29086214854.6826,1.22128218699886,0.918401733060537,54.4152113261796,104.792177701696,0.395113732097725,8.22124318497853
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Northeast",396679.062898598,437165.944845989,34974180.9389665,29663604837.9799,1.31847335858973,0.917822966507177,55.5283484029941,125.988380500888,0.496650717703349,10.2064579994583
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Northwest",498550.178713397,513716.961908959,42590603.3457593,40321983842.4221,1.21397948394719,0.930829058414695,28.4026489374969,60.0399272844648,0.569915604832037,3.04217786757239
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Northwest",498550.178713397,505626.278822761,42667936.4740966,40263231733.4166,1.71083946378055,0.93049191188649,26.8539956438165,69.9598644234748,0.702147628774913,1.41933558776879
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Southeast",696005.795545015,803301.72846286,59421811.9322014,51674853398.9231,1.21276977096333,0.901819923371648,52.1557120986498,142.605796224537,0.48838601532567,15.4159539481745
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Southeast",696005.795545015,860081.435117081,62552532.3959833,53284003281.0476,1.45027413726939,0.889099976252672,38.570037554555,71.937095750684,0.612206126810734,23.5738898472225
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Southwest",441009.609582996,495383.487841692,37941394.0117462,37172344640.6948,1.22798132372233,0.92932239775417,36.056680673183,74.2583654583911,0.572741784554412,12.3294089464651
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Southwest",441009.609582996,521049.398629788,39052141.9957289,37826827474.0798,1.73681969347084,0.927905731119443,26.0905457683761,46.0940627564264,0.702892340653455,18.1492165493797
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Western Central",127633.270856688,128301.830427097,11253237.0070868,11650879854.4889,1.22148289763795,0.932508351047677,12.6161518329736,23.7100976285767,0.619268144549043,0.52381292583165
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Pacific, Western Central",127633.270856688,110136.857600758,11220699.3281092,11611096129.4784,1.81741206493536,0.931567328918322,9.00693014999231,18.4492951743368,0.755880337976707,-13.708348253157
"RCP 6.0","Full Adaptation","Full","AGO","Angola","Angola",253292.846876247,45260.6053597516,8745872.35390121,4784965989.71929,1.23549895660845,0.90918774966711,10.4410200099268,81.4494521443696,0.656724367509987,-82.131115853475
"RCP 8.5","Full Adaptation","Full","AGO","Angola","Angola",253292.846876247,22147.9520999409,6074500.81792257,3714702217.87002,1.57378555184647,0.901663156365749,-11.5564291502347,32.0332465767774,0.715665625680877,-91.2559899053281
"RCP 6.0","Full Adaptation","Full","ALB","Albania","Albania",19141.6496520679,18830.7234154102,1532503.75623291,839226719.837825,1.33431874292488,0.924281466798811,20.0721853793912,96.7626865847294,0.65616121572514,-1.62434399494997
"RCP 8.5","Full Adaptation","Full","ALB","Albania","Albania",19141.6496520679,6357.0540664675,1166051.13067869,578837427.776249,1.49111301664421,0.917102705935117,13.2034481815498,66.2383780610294,0.708401853789804,-66.7894137547297
"RCP 6.0","Full Adaptation","Full","ARE","United Arab Emirates","United Arab Emirates",26997.5826889959,5.98699390346663e-17,1088488.07671146,942948904.06802,1.17130814520688,0.925286624203822,20.1818207836988,77.8471898479313,0.624777070063694,-100
"RCP 8.5","Full Adaptation","Full","ARE","United Arab Emirates","United Arab Emirates",26997.5826889959,0,1036859.61457885,908446196.937638,NA,0.912075471698113,-2.6457816618139,30.5271099709913,0.716603773584906,-100
"RCP 6.0","Full Adaptation","Full","ARG","Argentina","Argentina",1516638.97170763,1521956.55929704,131507329.514672,131683568659.109,1.2924194376197,0.910155927728735,79.037478106158,157.862548368186,0.583945219041333,0.350616573133381
"RCP 8.5","Full Adaptation","Full","ARG","Argentina","Argentina",1516638.97170763,1516344.30705722,131275656.238665,131535569730.001,1.6199669533067,0.909209347772983,32.9654862726629,124.660218643812,0.685123361289797,-0.0194287932661489
"RCP 6.0","Full Adaptation","Full","ATA","Antarctica","Antarctica",16904.5407321609,19026.1699403596,1253739.15546573,1100592686.50177,1.14830539115395,0.844739530132789,-2.68924861207112,38.9850820124082,0.457609805924413,12.550646845804
"RCP 8.5","Full Adaptation","Full","ATA","Antarctica","Antarctica",16904.5407321609,22346.5727869374,1420593.33984621,1228006385.79689,1.19320905377944,0.848101265822785,-6.2182222735893,44.4290560812908,0.518013631937682,32.1927234877369
"RCP 6.0","Full Adaptation","Full","ATG","Antigua and Barbuda","Antigua and Barbuda",7130.77124874551,7690.91691232208,653097.328800495,912380528.932035,1.46774254530305,0.916186967533963,27.0971049831186,92.1943017390245,0.672960319287743,7.85533070739181
"RCP 8.5","Full Adaptation","Full","ATG","Antigua and Barbuda","Antigua and Barbuda",7130.77124874551,4598.18946687717,627598.175358467,861687767.728333,1.54689675242442,0.913879337292904,-5.37556774150948,73.1914067955799,0.740543919974992,-35.5162393172252
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Australia",2046778.80040613,2048363.35379663,168872925.652078,160482775570.286,1.22312161559258,0.929877263754184,59.4935348352695,286.237767409735,0.590893485537722,0.0774169338758231
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Australia",2046778.80040613,1417082.95616219,157595330.193453,148522785067.806,1.85863741249494,0.927949395606776,16.0668556388415,112.000415325354,0.714830379966206,-30.7652123482515
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Christmas Island",19841.1654123,20511.7943407908,1789690.83075407,2042185603.99028,1.22560096070821,0.938551994466221,34.5010331259968,115.861059940527,0.609926216278533,3.37998758921193
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Christmas Island",19841.1654123,20321.916860858,1782982.23409992,2043379368.17787,1.92918558535884,0.937329542157489,7.7071409640164,78.574490512596,0.767597052167353,2.42300005351491
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Cocos Islands",23169.12764644,23528.746373624,2056828.85451722,2347836924.62356,1.22025784437642,0.934962249568991,31.5383186873402,91.1378454674349,0.599250936329588,1.55214616912541
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Cocos Islands",23169.12764644,23439.1051909778,2055750.35310927,2351834645.75157,1.90461801049738,0.934072484501669,7.43771679208812,63.1383837355073,0.759597043395327,1.1652469124328
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Heard and McDonald Islands",486.019111093867,1852.21279585214,80210.7533259371,177043687.520271,1.18840149430487,0.884130982367758,56.2530124911483,126.039429107705,0.508816120906801,100
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Heard and McDonald Islands",486.019111093867,3079.73457395338,134445.147656635,248577445.106617,1.35053916826127,0.876519756838906,61.9321695533001,189.514111178397,0.591185410334347,100
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Macquarie Island",3599.74483830856,5021.01100865011,345571.708064068,447165434.433639,1.18132182610061,0.867360644728005,57.8014433650759,300,0.464405641370047,39.4824142871575
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Macquarie Island",3599.74483830856,5172.82417645254,364266.710246122,469916353.484229,1.30259998423228,0.874798841326038,42.5838663688279,203.531198784677,0.531380753138075,43.6997456431699
"RCP 6.0","Full Adaptation","Full","AUS","Australia","Norfolk Island",42767.6647051544,44635.5079716504,3793703.66478854,3651474095.45816,1.21787058623854,0.922506183017312,44.1823728601972,118.477385680995,0.574883209672987,4.36741935612604
"RCP 8.5","Full Adaptation","Full","AUS","Australia","Norfolk Island",42767.6647051544,52794.4952149333,3945459.01773802,3679997872.79745,1.6829744159479,0.918804896604191,12.6212359013295,75.7491514112361,0.689259284874473,23.4448866425256
"RCP 6.0","Full Adaptation","Full","BEL","Belgium","Belgium",9163.0734332282,7672.53139575553,672621.930324477,533230966.581379,1.28107405930434,0.923167314471662,17.627421208254,147.86594666506,0.616198137937268,-16.2668350126661
"RCP 8.5","Full Adaptation","Full","BEL","Belgium","Belgium",9163.0734332282,7582.41525008417,662624.42676155,525684366.984703,1.45407259633169,0.922394292674439,18.3844954223098,182.831765771353,0.68975117452584,-17.2503057479826
"RCP 6.0","Full Adaptation","Full","BEN","Benin","Benin",11662.8374554623,1337.87369957488,540855.585238491,321770673.842491,1.23658130721717,0.913748320644872,8.61619834514068,83.4571045667627,0.639408866995074,-88.5287460732955
"RCP 8.5","Full Adaptation","Full","BEN","Benin","Benin",11662.8374554623,1330.57822659271,355775.587260469,235475330.082579,1.41391902537836,0.907260757561301,-5.08598550544366,40.1299722333036,0.696689247209236,-88.5912992299354
"RCP 6.0","Full Adaptation","Full","BGD","Bangladesh","Bangladesh",49503.5577125109,52868.4361247557,4611893.3756134,4411142488.36655,1.22025612827897,0.930633177723716,27.4387087314484,100.474016550382,0.604904990466171,6.79724562785194
"RCP 8.5","Full Adaptation","Full","BGD","Bangladesh","Bangladesh",49503.5577125109,33548.2587484675,4454299.04820916,4238359534.21062,1.91919054753786,0.933784052495526,1.38040794052837,70.926244451191,0.751441638496719,-32.2306106900496
"RCP 6.0","Full Adaptation","Full","BGR","Bulgaria","Bulgaria",34854.0814730947,34840.9878026657,2706564.35783898,1431076890.52929,1.33160237586058,0.930325149303251,21.7703336516934,122.434279367178,0.692634372926344,-0.0375671079986272
"RCP 8.5","Full Adaptation","Full","BGR","Bulgaria","Bulgaria",34854.0814730947,29977.9401815543,2666793.01708654,1400658850.02981,1.45060059569258,0.93048128342246,20.4839082410191,147.690320490822,0.757486631016043,-13.9901586426956
"RCP 6.0","Full Adaptation","Full","BHR","Bahrain","Bahrain",2398.1531911472,0,135262.928794688,109124492.615276,NA,0.9444140696191,17.5097858439517,71.4217565612639,0.67058501913614,-100
"RCP 8.5","Full Adaptation","Full","BHR","Bahrain","Bahrain",2398.1531911472,7.92679906686736e-17,134005.479478346,108139666.104956,2.0101208678102,0.934257508926696,1.42575700773856,45.3444041905308,0.772421760134426,-100
"RCP 6.0","Full Adaptation","Full","BHS","Bahamas","Bahamas",109874.910021869,87992.6828728206,9156105.7072361,12309777533.5706,1.39039526397612,0.916600875619034,32.5015516475933,106.788503436262,0.673796023828321,-19.9155814049753
"RCP 8.5","Full Adaptation","Full","BHS","Bahamas","Bahamas",109874.910021869,49922.3108842665,7380883.301069,8943653507.67431,1.58104278874985,0.90611458834858,-4.12539556877359,30.6981664162962,0.718584496870486,-54.5644124993322
"RCP 6.0","Full Adaptation","Full","BLZ","Belize","Belize",8783.18212399501,8537.87510040522,741488.730365922,1075789589.85207,1.36948602326779,0.91757585410528,39.7230681681933,128.266848797259,0.669984868997372,-2.79291742020964
"RCP 8.5","Full Adaptation","Full","BLZ","Belize","Belize",8783.18212399501,4060.51703996807,640716.636153516,862580255.384444,2.47762578631352,0.909350896958142,-3.9070623732436,45.3776709359177,0.73299246035185,-53.769408596515
"RCP 6.0","Full Adaptation","Full","BRA","Brazil","Brazil",673663.179421217,449811.301646131,45804172.6422314,51990427987.0378,1.44384718596328,0.916598813539607,58.7016555804487,131.910797231412,0.658020239618472,-33.2290504532858
"RCP 8.5","Full Adaptation","Full","BRA","Brazil","Brazil",673663.179421217,285994.601112449,41344174.5850895,45925598636.0311,2.55975833822749,0.913543316323538,3.20992927469817,76.6019631120782,0.72713942166696,-57.5463510773792
"RCP 6.0","Full Adaptation","Full","BRA","Brazil","Trindade",14302.7848628037,14522.2719638314,1280092.68826127,1327190958.23472,1.25500028757361,0.906949548947544,38.1935981583743,37.2802489898106,0.519044437019713,1.5345759803637
"RCP 8.5","Full Adaptation","Full","BRA","Brazil","Trindade",14302.7848628037,14668.026583253,1288786.87890525,1344996746.50749,1.54947245255742,0.908022239872915,8.32260515358738,34.4515176857952,0.669737887212073,2.5536405948412
"RCP 6.0","Full Adaptation","Full","BRB","Barbados","Barbados",9531.84539694715,9309.1187282488,821245.948560693,1039962779.54043,1.363623239598,0.917800632911392,31.763158216974,72.3824686836344,0.670648734177215,-2.33665842681083
"RCP 8.5","Full Adaptation","Full","BRB","Barbados","Barbados",9531.84539694715,6566.94382652258,778656.351983494,949391699.757247,1.49097264885969,0.913847692051325,0.327590375639175,44.2052252545266,0.741459756707215,-31.1052209404715
"RCP 6.0","Full Adaptation","Full","BRN","Brunei","Brunei",12496.5671848362,10942.6813430274,1074694.09053076,1086592573.27584,1.22638242113523,0.928744760644165,31.831510750954,144.447737470433,0.605779836752702,-12.4345015621122
"RCP 8.5","Full Adaptation","Full","BRN","Brunei","Brunei",12496.5671848362,181.67653960172,892488.891786951,908181072.859085,1.87488487061203,0.926592402170808,0.374843353581668,60.8921475547826,0.756526706655241,-98.546188429874
"RCP 6.0","Full Adaptation","Full","CAN","Canada","Canada",2110513.31629127,2358427.61805481,185783295.513208,294645248429.529,1.28071754363229,0.899074733096085,30.4778961578897,154.74982012703,0.514685646500593,11.7466352782455
"RCP 8.5","Full Adaptation","Full","CAN","Canada","Canada",2110513.31629127,2427596.17395472,190501975.642353,300355017173.977,1.60692343422762,0.898576009053187,29.8809693484363,181.5039067864,0.599066390041494,15.0239685869717
"RCP 6.0","Full Adaptation","Full","CHL","Chile","Chile",3533674.50585594,3259794.71668709,293374291.768016,316761437836.447,1.29977455425744,0.911801976852243,4.58014739302989,11.8170826319825,0.548280814395539,-7.7505664065828
"RCP 8.5","Full Adaptation","Full","CHL","Chile","Chile",3533674.50585594,2970184.83192912,291319563.861376,312748354973.309,1.54563295434094,0.906648644082115,0.664959376813372,8.71503090403247,0.658190419869899,-15.9462812150075
"RCP 6.0","Full Adaptation","Full","CHL","Chile","Easter Island",22590.8233632575,22641.2836157125,1992370.02133336,1989954911.30553,1.18152255183014,0.905493207324276,28.1435969234506,25.4237678443264,0.459539279385706,0.223366150244159
"RCP 8.5","Full Adaptation","Full","CHL","Chile","Easter Island",22590.8233632575,22657.1023182228,1994915.66122277,1999462107.58369,1.44673620592078,0.905236907730673,9.81249713087155,16.6996282276797,0.610780740456551,0.293388841564351
"RCP 6.0","Full Adaptation","Full","CHN","China","China",1118421.40015809,858493.339869433,87909909.2585959,101795364595.502,1.25456060596215,0.928658536585366,10.5342877482288,121.80652970782,0.619991289198606,-23.2406193454375
"RCP 8.5","Full Adaptation","Full","CHN","China","China",1118421.40015809,561143.310441674,75354765.2718382,87157447393.5588,1.94993158495102,0.928948862395738,-7.80767281549328,98.6794854713867,0.75466177562339,-49.8272019506817
"RCP 6.0","Full Adaptation","Full","CIV","Ivory Coast","Ivory Coast",66930.6467057879,9178.87536277496,3462090.27221605,2048391002.79292,1.19378199359661,0.912605499591615,10.0094740842443,85.3000749268978,0.634268082403122,-86.2859903279835
"RCP 8.5","Full Adaptation","Full","CIV","Ivory Coast","Ivory Coast",66930.6467057879,8574.15845385692,2936020.5037616,1773265221.34273,1.58087901801933,0.906385437734759,-2.11602982713052,60.0474322002844,0.694693248579409,-87.1894881106603
"RCP 6.0","Full Adaptation","Full","CMR","Cameroon","Cameroon",28399.2313333056,1961.1869039783,478039.919016831,307877751.228002,1.19439460727265,0.916658217580858,16.8051933483445,68.1240967308856,0.629118929331846,-93.0942254001139
"RCP 8.5","Full Adaptation","Full","CMR","Cameroon","Cameroon",28399.2313333056,492.468912873429,481477.794564018,328073678.255937,1.40395359847863,0.908202247191011,-11.2572214579345,30.5410192447714,0.690674157303371,-98.2659075976614
"RCP 6.0","Full Adaptation","Full","COD","Democratic Republic of the Congo","Democratic Republic of the Congo",10528.3109740609,1460.27618574658,238084.953094054,139901211.930202,1.49883447748364,0.89961915125136,5.33941505531736,44.0362902796539,0.621146173376859,-86.1300051893951
"RCP 8.5","Full Adaptation","Full","COD","Democratic Republic of the Congo","Democratic Republic of the Congo",10528.3109740609,99.8996140325675,182202.234612301,115762146.989904,1.42808715697456,0.893899204244032,-16.2092311848137,23.4461634958804,0.685234305923961,-99.0511335172499
"RCP 6.0","Full Adaptation","Full","COG","République du Congo","République du Congo",25749.0468175856,2795.97893234866,1803294.26636967,876017536.709764,1.25776049743479,0.921913976869,-1.11522016954848,-300,0.682969234258069,-89.1414274394067
"RCP 8.5","Full Adaptation","Full","COG","République du Congo","République du Congo",25749.0468175856,1569.86236296785,1048389.31859273,574925987.735684,1.81870490300838,0.909582352428285,-11.7158243691875,105.424467785696,0.711744703112739,-93.9032214509172
"RCP 6.0","Full Adaptation","Full","COL","Colombia","Colombia",128878.900086823,114136.548494545,11157938.589057,12676384125.6175,1.49727233010713,0.919271926143517,13.2243199756419,147.039135745021,0.675618967687789,-11.4389179162354
"RCP 8.5","Full Adaptation","Full","COL","Colombia","Colombia",128878.900086823,72708.0743374703,10542179.4858483,11658403926.4856,2.34991334840658,0.912935454881852,-4.86147172110632,68.4378258166798,0.750330390653909,-43.5841908268242
"RCP 6.0","Full Adaptation","Full","COL","Colombia","Quita Sueño Bank",1376.73806985105,1340.97495099936,116655.583798638,167912606.245622,1.36992932747483,0.917778467266522,35.5637921808153,120.696507791429,0.674837108284207,-2.59767051081581
"RCP 8.5","Full Adaptation","Full","COL","Colombia","Quita Sueño Bank",1376.73806985105,626.900011937671,106557.605559455,147498621.186444,2.38715280580328,0.913468530338531,-6.89202249619357,61.2473975676375,0.74048638603862,-54.4648306263882
"RCP 6.0","Full Adaptation","Full","COL","Colombia","Serrana Bank",1116.47468411695,1071.58779652824,93943.6711787633,135207579.778422,1.44694908554566,0.917218021424071,34.0450697590186,120.06184396193,0.671077504725898,-4.02041248469629
"RCP 8.5","Full Adaptation","Full","COL","Colombia","Serrana Bank",1116.47468411695,534.994620515298,85629.7026019769,118408984.929605,1.48040447985873,0.9137902695595,-7.4032975508687,60.0433554766716,0.739809335963182,-52.0817956621705
"RCP 6.0","Full Adaptation","Full","COM","Comoro Islands","Comoro Islands",14020.1293488545,13707.9481923834,1203430.45014014,1253701850.32127,1.21521682285606,0.928699266785982,45.7912736135189,151.806899814623,0.620114312106691,-2.22666388236009
"RCP 8.5","Full Adaptation","Full","COM","Comoro Islands","Comoro Islands",14020.1293488545,13585.6407321799,1209140.20323694,1262959138.25359,1.85623606763093,0.927459940996124,9.96643283385096,96.2827833648904,0.766009139816047,-3.09903429464473
"RCP 6.0","Full Adaptation","Full","CPV","Cape Verde","Cape Verde",154196.36551922,160823.800555487,12305733.4501197,6615038094.21807,1.45611116106322,0.919144182849287,9.25498105375354,117.11670639326,0.63120811135934,4.2980487989784
"RCP 8.5","Full Adaptation","Full","CPV","Cape Verde","Cape Verde",154196.36551922,123622.83447271,11271407.6377476,6236139508.64906,1.74772741533075,0.919276691469112,-5.19394111060958,144.311422985044,0.707475341754629,-19.8276599734117
"RCP 6.0","Full Adaptation","Full","CRI","Costa Rica","Costa Rica",133891.50682612,38853.7061503122,9700413.63129005,10459441897.8084,1.38109041973131,0.922173024523161,0.886361101199758,68.9158380044174,0.67574931880109,-70.9812018168036
"RCP 8.5","Full Adaptation","Full","CRI","Costa Rica","Costa Rica",133891.50682612,34695.8318525158,10325681.0383606,11022875130.9944,1.95341077415368,0.910882809700155,-7.17592610395546,34.485333017086,0.745191733365189,-74.08660737714
"RCP 6.0","Full Adaptation","Full","CUB","Cuba","Cuba",130438.915206335,38816.2326315499,8788064.04069422,7462981671.38377,1.39208060037637,0.913337338540102,18.4678436184051,80.7796819835866,0.669870832081706,-70.2418311512723
"RCP 8.5","Full Adaptation","Full","CUB","Cuba","Cuba",130438.915206335,34405.3358152023,6279620.04267297,5233269223.77111,1.59709276713401,0.901299583793426,-6.28278352991754,21.1479399208823,0.71247770321923,-73.6234115710192
"RCP 6.0","Full Adaptation","Full","CYP","Cyprus","Cyprus",60260.5329969512,50436.6145021126,4173857.81426072,2046535592.05792,1.2710579942025,0.925261464199517,34.1571159575036,172.534957515232,0.650844730490748,-16.3024089005911
"RCP 8.5","Full Adaptation","Full","CYP","Cyprus","Cyprus",60260.5329969512,30831.449807326,4002509.18763503,1938801742.13286,1.47327392526396,0.920204914474255,25.3127099679311,149.426680200834,0.724754710428063,-48.8364136957005
"RCP 6.0","Full Adaptation","Full","DEU","Germany","Germany",135796.184462373,127221.869475059,10857980.8503739,8216574673.6981,1.27476525847114,0.921107377180349,15.6983588663067,151.301954291816,0.626820291246599,-6.3141059678966
"RCP 8.5","Full Adaptation","Full","DEU","Germany","Germany",135796.184462373,114854.57066341,10649497.9335188,8182001638.42921,1.4299181275468,0.921601136901942,16.843149859041,191.720172774422,0.686878256750355,-15.4213565586344
"RCP 6.0","Full Adaptation","Full","Disputed","Disputed","Conflict Zone",95125.7079107737,60939.0731951421,6464882.2707686,6840613588.29389,1.23009417033177,0.930401280896628,7.80172495203137,84.5086813948212,0.611227859501651,-35.938376140862
"RCP 8.5","Full Adaptation","Full","Disputed","Disputed","Conflict Zone",95125.7079107737,41987.9722173077,5432457.79629557,5670891010.48043,1.95793652704484,0.929593182509891,-9.96031929127873,52.1980394265743,0.754844273105407,-55.860541656424
"RCP 6.0","Full Adaptation","Full","Disputed","Disputed","Japan - South Korea Conflict Zone",117571.559639339,85624.2428868272,7797814.35869817,7579510438.30689,1.24415974635187,0.92365865308072,4.33711126093436,121.683763750536,0.557236108899857,-27.1726571039057
"RCP 8.5","Full Adaptation","Full","Disputed","Disputed","Japan - South Korea Conflict Zone",117571.559639339,68409.0491390761,6689630.17151608,6411257509.66381,1.698495269344,0.922543725316354,-8.94165075358243,183.034521786976,0.676392359152092,-41.8149683912274
"RCP 6.0","Full Adaptation","Full","Disputed","Disputed","Kenya/Somalia",3492.13336104076,3503.73689964142,296857.128875918,287012058.62515,1.21240150420201,0.923779617470739,31.9402518764761,93.6010464108854,0.627462175278333,0.33227650267067
"RCP 8.5","Full Adaptation","Full","Disputed","Disputed","Kenya/Somalia",3492.13336104076,3494.29860150116,298028.49699602,287546292.258862,1.84090945788222,0.922975829952574,3.29303997737776,59.3503348201372,0.761785040854808,0.0620033726246041
