"rcp","scenario","scenario_short","sovereign_iso3","sovereign","country","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff","msy_pdiff"
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Antarctica",27133.1017231112,33451.7046242326,2247804.00167303,3563343625.91446,1.2138392903044,0.914376742333732,3.97715557072093,29.9727136319129,0.473118279569892,23.2874330609218
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Antarctica",27133.1017231112,41584.9228177195,2611266.31940123,4012128569.48835,1.37229512139665,0.920051938415878,1.66959491895096,30.2660529495627,0.573363012428121,53.2626945569535
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Arctic Sea",472.094407507799,20776.0675283288,572315.979735711,844020318.239166,1.27242288436588,0.956916099773243,59.1513312959498,258.997751227525,0.471655328798186,100
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Arctic Sea",472.094407507799,45807.0624094001,1436123.43844873,1762160621.98893,1.39258826389468,0.960921843687375,91.8445165133978,279.645314677568,0.525050100200401,100
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Eastern Central",216308.247537905,213645.17579636,18768923.4911388,20802422211.1309,1.25778818899186,0.911596607669616,14.4422614999826,23.5053382104606,0.584162979351032,-1.23114664921764
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Eastern Central",216308.247537905,182142.04631384,18482150.3849057,19993398905.7677,1.46553913599052,0.911092452654165,10.4417907982548,24.960059329193,0.678421494542401,-15.7951449438273
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Northeast",560524.307992328,631290.763485628,49218060.7783341,34710070589.2394,1.27646949618116,0.906617606065674,64.032314094987,129.91082116565,0.612030997379718,12.6250466722431
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Northeast",560524.307992328,650753.969848916,50934035.3521956,35631324255.9403,1.44048820651503,0.906929917780636,62.9078337333457,147.298888912859,0.69192907880754,16.0973682265039
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Northwest",352419.032584772,343484.379413365,28957093.5154531,29385186048.4259,1.28072911567125,0.892154646167759,50.128633157633,119.188817065334,0.567035948451277,-2.5352357124068
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas","FAO Atlantic, Northwest",352419.032584772,316658.586547393,28310176.2704731,29308259829.2036,1.6525771810844,0.891792445746039,45.1886319792358,139.299450046917,0.663287527220845,-10.1471381313032
